UID,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,Target_ChurnFlag,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207,X208,X209,X210,X211,X212,X213,X214,X215
4074738-17,13 Month Lease,2088.0,2015-11-05,2016-11-04,,2015-11-05,2015-11-05,,,,False,,2088.0,0,0,1,2016-11-05,12,6-12 months,1,1,8,1,1,0,0,0,1,0,2016,2015-11-05,2016-11-04,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,,-1.0,-1.0,2,2,2,0,2,0,0,0,0,2,28,,,-1.0,27.0,26,28,0,2,0.0,,14,4,11,3,0,1,1,0,4,911.0,911.0,2.0,1.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,95248,177,ACTIVE,Redmond,WA,98052-4094,95248,"Seattle,WA",A,High Rise,suburban,Redmond,0,164,0,0,164,"Seattle-Bellevue-Everett, WA",Redmond,0.956,1752.0,-0.0321,2015-Q4,2015-10-01,2242.0,2242.0,0.9313113291703836,0.9313113291703836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.291987,1.0,0.9265536723163842,-1.0
3755795-31144,12 month lease,1269.0,2017-06-28,2018-06-27,,2017-06-28,2017-06-28,,,,False,,1269.0,0,0,1,2018-06-28,12,6-12 months,1,3,5,1,0,0,0,0,1,0,2018,2017-06-28,2018-06-27,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,10.0,1.0,1.0,10.0,5.5,-1.0,-1.0,1,10,10,2,10,6,0,3,2.7,2.0,10,0,0,0,0,0,2,1,4,0,1,0,0,2,0,1,0,1,2538.0,-1.0,-1.0,1,1,1,0,1,0,0,1,0,1,23,,,-1.0,23.0,23,23,0,1,25000.0,,12,1,17,0,0,0,0,0,14,605.0,605.0,1.0,1.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,2,0,1,11.0,11,11,1,9,2.3333333,2,0,6,3,94219,379,ACTIVE,Silver Spring,MD,20910-7438,94219,Metro DC,A,High Rise,urban,Downtown Silver Spring,0,23,0,340,363,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Downtown Silver Spring,0.9545,1858.0,0.0071,2017-Q2,2017-04-01,1791.5,1791.5,0.7083449623220764,0.7083449623220764,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.5,0.0,0.25,0.2250000039736429,0.1666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0833333333333333,0.3333333333333333,0.0,0.0833333333333333,0.0,0.0,0.1666666666666666,0.0,4.5,1.1666666269302368,1.0,0.0,3.0,1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0975206,1.0,0.9577836411609498,0.5
1071425-8705,12 month lease,832.0,2015-11-18,2016-11-20,2016-11-20,2015-11-18,2015-11-18,2016-11-20,2016-09-19,,False,,832.0,0,0,1,,12,6-12 months,1,12,6,1,0,0,0,0,1,1,2016,2015-11-18,2016-11-20,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,6,6,2,6,1,0,3,1.5,1.0,6,0,0,0,0,0,1,1,2,0,1,0,0,1,0,-1,-1,-1,,-1.0,-1.0,2,2,1,1,1,1,0,1,0,1,36,Medical,,23.628588,17.5,-1,36,0,1,10000.0,Medical,18,3,26,0,0,1,1,0,1,817.0,817.0,1.0,1.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,11,1,6,12.545455,6,24,2,32,1.1860465,17,0,43,0,10118,576,ACTIVE,Henrico,VA,23294-4845,10118,Richmond,B,Garden,suburban,Northwest Richmond,0,606,0,350,956,"Richmond, VA",Northwest Richmond,0.9461,938.0,-0.0168,2015-Q4,2015-10-01,908.0,908.0,0.9162995594713657,0.9162995594713657,0.5,0.5,0.1666666666666666,0.5,0.0833333333333333,0.0,0.25,0.125,0.0833333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,2.909090909090909,0.1078224073756824,1.5454545454545454,0.0,3.909090909090909,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0183599,0.5,1.6597222222222223,0.6363636363636364
4244397-20988,15 month lease,1665.0,2019-12-21,2021-03-14,,2019-12-21,2019-12-21,,,,False,,1665.0,0,0,1,2021-03-15,15,1-3 years,1,3,2,1,0,0,0,0,1,0,2021,2019-12-21,2021-03-14,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,6,6,1,6,1,0,3,4.8333335,4.1666665,6,0,0,0,0,0,0,3,0,0,1,1,0,1,0,1,0,0,3330.0,-1.0,-1.0,1,1,1,0,1,0,0,1,0,1,58,,,-1.0,58.0,58,58,0,1,0.0,,13,8,3,4,1,1,1,3,5,1044.0,1044.0,2.0,2.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,2,0,2,13.5,13,14,0,1,0.0,0,0,1,0,20312,383,ACTIVE,Addison,TX,75001,20312,Dallas TX,A,High Rise,suburban,Addison/Bent Tree,5,0,58,495,558,"Dallas-Plano-Irving, TX",Addison/Bent Tree,0.9543,1218.0,-0.0051,2019-Q4,2019-10-01,1620.0,1711.0,1.0277777777777777,0.973115137346581,0.4,0.4,0.0666666666666666,0.4,0.0666666666666666,0.0,0.2,0.3222222328186035,0.2777777671813964,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.0,0.5,0.0,0.0,0.0,0.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.5948275,2.0,1.4569190600522193,1.0
1026858-4576,12 month lease,1590.0,2015-08-19,2016-08-13,2016-08-13,2014-08-27,2014-08-27,2016-08-13,2016-06-07,,False,,1590.0,0,0,1,,12,6-12 months,2,13,6,0,0,0,0,0,1,1,2016,2015-08-19,2016-08-13,0,0,1540.0,0.032467533,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,6,6,1,6,2,0,2,1.0,0.33333334,6,0,0,0,0,0,2,2,0,0,1,0,0,1,0,-1,-1,-1,,-1.0,-1.0,4,4,1,1,1,3,0,1,0,1,36,,,10.899354,16.5,6,36,0,1,64051.0,,16,4,25,0,1,1,1,0,1,995.0,995.0,2.0,2.0,0,1,12.0,12,12,0,17,1.0,4,0,17,0,12,1,9,11.833333,10,14,3,70,0.67105263,33,0,76,7,10308,274,ACTIVE,Silver Spring,MD,20906-6001,10308,Metro DC,B,Garden,suburban,Wheaton/Aspen Hill,0,1,83,322,406,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Wheaton/Aspen Hill,0.9608,1515.0,0.0236,2015-Q3,2015-07-01,1551.0,1551.0,1.0251450676982592,1.0251450676982592,0.5,0.5,0.0833333333333333,0.5,0.1666666666666666,0.0,0.1666666666666666,0.0833333333333333,0.02777777860562,0.5,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,5.833333333333333,0.0559210528930028,2.75,0.0,6.333333333333333,0.5833333333333334,8.5,0.5,2.0,0.0,8.5,0.0,1.0,1.5979899,0.5,1.4817518248175183,0.8333333333333334
2308603-31769,12 month lease,2144.0,2017-04-03,2018-04-01,2018-02-11,2016-01-02,2016-01-02,2018-02-11,2017-12-14,,False,,2144.0,0,0,1,,12,6-12 months,3,8,6,0,0,0,0,0,1,1,2018,2017-04-03,2018-02-11,0,0,2102.0,0.01998097,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,6,6,1,6,0,0,0,2.5,0.0,6,0,0,0,0,0,1,2,1,1,1,0,0,0,0,1,0,0,4288.0,0.0,-1.0,2,2,2,1,2,0,1,1,0,2,40,,,-1.0,38.5,37,40,0,2,0.0,,27,8,22,1,1,3,1,4,2,1108.0,1108.0,1.0,1.0,0,2,7.5,5,10,0,27,1.1153846,10,0,26,1,7,0,4,10.857142,5,24,1,66,0.94736844,39,0,76,1,11014,180,ACTIVE,Baltimore,MD,21224-5222,11014,Baltimore,A,High Rise,urban,Baltimore City East,0,0,9,261,270,"Baltimore-Columbia-Towson, MD",Baltimore City East,0.9129,1391.0,0.0152,2017-Q2,2017-04-01,1815.5,1815.5,1.180941889286698,1.180941889286698,0.5,0.5,0.0833333333333333,0.5,0.0,0.0,0.0,0.2083333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,9.428571428571429,0.1353383490017482,5.571428571428571,0.0,10.857142857142858,0.1428571428571428,9.0,0.371794859568278,3.333333333333333,0.0,8.666666666666666,0.3333333333333333,1.0,1.9350181,0.5,1.5,0.5714285714285714
1029038-14292,13 month lease,1083.0,2015-11-19,2016-12-21,2016-06-10,2015-11-19,2015-11-19,2016-06-10,2016-05-25,,False,,1083.0,0,0,1,,13,1-3 years,1,15,8,1,0,0,0,0,1,1,2016,2015-11-19,2016-06-10,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,5,5,1,5,0,0,5,0.0,0.0,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,-1,-1,-1,,-1.0,-1.0,1,1,1,0,1,0,1,0,0,1,29,,,-1.0,29.0,29,29,0,1,0.0,,20,6,16,0,2,2,1,3,1,944.0,944.0,2.0,2.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,14,0,8,12.428572,7,15,2,42,0.775,28,0,40,3,17110,260,ACTIVE,Altamonte Springs,FL,32714-1726,17110,Orlando,B,Garden,suburban,Altamonte Springs/Apopka,0,0,21,403,424,"Orlando-Kissimmee-Sanford, FL",Altamonte Springs/Apopka,0.9635,999.0,0.0074,2015-Q4,2015-10-01,995.5,995.5,1.08789552988448,1.08789552988448,0.3846153846153846,0.3846153846153846,0.0769230769230769,0.3846153846153846,0.0,0.0,0.3846153846153846,0.0,0.0,0.3846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,3.0,0.055357141154153,2.0,0.0,2.857142857142857,0.2142857142857142,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.1472458,2.0,1.6307692307692307,0.5714285714285714
1005721-47744,14 month lease,0.0,2018-06-18,2019-08-11,,2018-06-18,2018-06-18,,,,False,,2845.0,0,0,1,2019-08-12,14,1-3 years,1,15,4,1,0,0,0,0,1,0,2019,2018-06-18,2019-08-11,0,0,-1.0,-1.0,10.0,-1.0,9.0,-1.0,-1.0,6.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,10.0,4.0,4.0,10.0,7.2,-6.0,-0.6,1,33,38,2,38,13,1,4,1.8947369,0.9230769,39,0,0,0,0,0,7,12,4,0,5,1,0,10,0,1,0,0,5690.0,-1.0,-1.0,5,5,2,1,2,3,1,1,0,2,48,,,-1.0,48.0,48,48,0,2,0.0,,23,3,43,0,1,0,0,1,1,1645.0,1645.0,3.0,2.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,14,0,13,11.714286,7,14,4,47,2.1320755,32,0,53,4,40005,384,ACTIVE,Costa Mesa,CA,92626-5300,40005,Orange County,B,Garden,suburban,Costa Mesa,-1,-1,-1,-1,-1,"Anaheim-Santa Ana-Irvine, CA",Costa Mesa,0.9631,2037.0,0.0109,2018-Q2,2018-04-01,2917.0,2917.0,0.9753171066163868,0.9753171066163868,2.357142857142857,2.7142857142857144,0.1428571428571428,2.7142857142857144,0.9285714285714286,0.0714285714285714,0.2857142857142857,0.1353383490017482,0.0659340662615639,2.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.5,0.8571428571428571,0.2857142857142857,0.0,0.3571428571428571,0.0714285714285714,0.0,0.7142857142857143,0.0,3.357142857142857,0.152291110583714,2.2857142857142856,0.0,3.7857142857142856,0.2857142857142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.5,1.7294832,0.6,-0.0026041666666666,0.9285714285714286
3655199-21202,13 month lease,2390.0,2019-12-26,2021-01-25,2021-01-26,2019-12-26,2019-12-26,2021-01-26,2021-01-04,2021-01-26,False,,2390.0,0,0,1,,13,1-3 years,1,4,2,1,0,0,0,0,1,1,2021,2019-12-26,2021-01-26,0,0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,9.0,2.0,2.0,9.0,6.3333335,-7.0,-0.7777778,0,1,1,1,1,1,0,0,3.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4780.0,-1.0,-1.0,2,2,2,0,2,0,0,0,0,2,23,,Unemployed,-1.0,22.5,22,23,1,2,0.0,Unemployed,11,4,8,3,0,1,1,0,1,975.0,975.0,2.0,2.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,3,0,3,13.0,9,15,0,4,0.0,1,0,3,1,30014,244,ACTIVE,Seattle,WA,98118-1702,30014,"Seattle,WA",A,High Rise,urban,West Seattle/South Seattle,0,5,183,0,188,"Seattle-Bellevue-Everett, WA",West Seattle/South Seattle,0.9428,1892.0,-0.0105,2019-Q4,2019-10-01,2567.0,2567.0,0.9310479158550836,0.9310479158550836,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.0,0.2307692307692307,0.1538461538461538,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.451282,1.0,0.7704918032786885,1.0
1960930-75772,12 month lease,2010.0,2019-06-21,2020-06-20,2020-06-20,2019-06-21,2019-06-21,,,,False,,2010.0,0,0,1,2020-06-21,12,6-12 months,1,13,3,1,0,0,0,0,1,0,2020,2019-06-21,2020-06-20,0,0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,9.0,1.0,1.0,9.0,5.0,-1.0,-1.0,1,11,11,1,11,5,0,3,1.1818181,0.45454547,11,0,0,0,0,0,3,0,1,1,1,0,1,4,0,1,0,0,4020.0,-1.0,-1.0,1,1,1,0,1,0,0,1,0,1,39,,,0.0,39.0,39,39,0,1,37920.0,,19,2,25,0,0,0,0,1,1,718.0,718.0,1.0,1.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,12,1,5,13.0,12,24,1,35,1.2368422,17,0,38,0,94214,391,ACTIVE,Austin,TX,78758-7737,94214,Austin TX,A,High Rise,urban,North Central Austin,0,0,64,467,531,"Austin-Round Rock, TX",North Central Austin,0.9604,1120.0,0.0214,2019-Q2,2019-04-01,1516.0,1516.0,1.3258575197889182,1.3258575197889182,0.9166666666666666,0.9166666666666666,0.0833333333333333,0.9166666666666666,0.4166666666666667,0.0,0.25,0.098484843969345,0.0378787890076637,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.3333333333333333,0.0,2.9166666666666665,0.1030701796213785,1.4166666666666667,0.0,3.1666666666666665,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.799443,1.0,1.358056265984655,0.5
